Topic;Word_1;Word_2;Word_3;Word_4;Word_5;Word_6;Word_7;Score_1;Score_2;Score_3;Score_4;Score_5;Score_6;Score_7
-1;henhold;samtaler;brug;ligger;fordelt;indgå;kontakte;0.2060253839632602;0.19099921427239336;0.17934401157278135;0.17934401157278135;0.17934401157278135;0.16982101756992019;0.16982101756992019
0;botilbud;herunder;kørekort;personlig;målgruppen;tværfagligt;socialfaglige;0.17889374695471874;0.17889374695471874;0.17889374695471874;0.17889374695471874;0.17889374695471874;0.17889374695471874;0.17889374695471874
1;hvilket;bfc;bl;teamet;går;stort;valby;0.20503466879657;0.20503466879657;0.20503466879657;0.20503466879657;0.20503466879657;0.18592289012707522;0.18592289012707522
2;børnecenter;optaget;derudover;tryghed;anerkendende;gruppe;grønne;0.20677794171888517;0.20677794171888517;0.1875036683530185;0.1875036683530185;0.1875036683530185;0.1875036683530185;0.1738283537673415
3;særforanstaltninger;snekkersten;mål;solhuset;brovst;særligt;selvstændigt;0.19712853371305106;0.19712853371305106;0.19712853371305106;0.19712853371305106;0.19712853371305106;0.19712853371305106;0.1787537050663705
4;funktionsniveau;krap;faste;aktivitets;indhentes;egelunden;friskolen;0.17683509345573206;0.17683509345573206;0.17683509345573206;0.17683509345573206;0.17683509345573206;0.17683509345573206;0.17683509345573206
5;vesterbro;skibet;humor;åskolen;sognefogedgården;gården;vejrup;0.18720540498194732;0.18720540498194732;0.18720540498194732;0.18720540498194732;0.18720540498194732;0.18720540498194732;0.18720540498194732
6;døgncentret;lykkely;stjernestøv;strategi;unik;selvejende;nydam;0.17584415573288478;0.17584415573288478;0.17584415573288478;0.17584415573288478;0.17584415573288478;0.17584415573288478;0.17584415573288478
7;ann;blære;kollegialt;natur;klynge;mikkelborg;nim;0.18667862483472297;0.18667862483472297;0.18667862483472297;0.18667862483472297;0.18667862483472297;0.18667862483472297;0.18667862483472297
8;jelling;lokale;barselsvikariat;dokumentation;travlt;børnehaveklasseledere;indstillet;0.18887354639603895;0.18887354639603895;0.18887354639603895;0.18887354639603895;0.18887354639603895;0.18887354639603895;0.18887354639603895
9;kragsbjerg;eremitagen;saxen;planet;fleksibel;projekter;drømmer;0.1896562929421038;0.1896562929421038;0.1896562929421038;0.1896562929421038;0.1896562929421038;0.1896562929421038;0.1896562929421038
