Company/Kommune,Title,Description,Publish Date,Link
Holsted Børnehave,Pædagog,"Holsted Private Børnehave søger pædagoguddannet til 34-37 timers fast stilling fra 1. maj 2024 – eller evt. senere.Vil du være en del af et fantastisk team... der er nysgerrig på hele tiden at kunne gøre arbejdet bedre end godt? Vi er en personalegruppe med stor faglig erfaring, vi udvikler os løbende og lærer af de nye erfaringer, vi gør os.Holsted Børnehave er en privat børnehave med plads til 70 børn fordelt på tre stuer. Stillingen er på stuen med børn i alderen knap 3-4 år.Vi vægter... relationer,nærvær og imødekommenhed stort. Alle tages godt imod og bliver mødt med et smil. Vi arbejder selvreflekterende og tør satse, for her arbejder vi med mennesker.Vi er gode til... at grine sammen, men også til at være ansvarlige sammen. Stemningen er høj, når musikken spiller på legepladsen, mens børn og voksne danser og synger til alt fra Baby Shark til Volbeat.Her er ikke langt fra idé til udvikling, den enkelte medarbejder har i samarbejde med stuekollegaer metodefrihed indenfor de rammer, der skaber trivsel, læring og udvikling.Vi er meget bevidste i vores egenskab som rollemodeller.Vi giver plads... til, at børn er forskellige, og vi behandler derfor børn forskelligt for at behandle dem ens. Hos os har børnene særaftaler efter behov.Vi søger en kollega med pædagogisk uddannelse... der kan gennemskue, hvad det enkelte barn rummer, og se hvilke udfordringer og tiltag der skal justeres på, for at barnet trives og udvikles. Vi søger en kollega, der er nærværende, fleksibel og indstillet på at udvikle både sig selv og børnene. Vi ansætter en kollega, der søger stillingen, ikke fordi det er let, men fordi det er svært at lade være.Vi tilbyder... et vikariat med ansvar og indflydelse, en loyal forældregruppe og nogle dejlige kollegaer, der arbejder for at skabe de bedste rammer for børnene og det gode børneliv i vores private børnehave.Læs mere... om os på børnehavens hjemmesidewww.holstedbornehave.dk. Du er også velkommen til at ringe til os på 7539 2304 eller 5116 5954. Send din ansøgning med CV tilpost@holstedbornehave.dkAnsøgninger gemmes iht. reglerne for GDPR, så længe ansættelsesprocessen er i gang.Ansøgningsfrist 26. april 2024.Vi forventer at holde samtaler løbende. Har du ikke hørt fra os inden den 10. maj 2024, er stillingen besat til en anden.Løn- og ansættelsesvilkår efter gældende overenskomst",22. marts 2024,https://www.jobindex.dk/jobannonce/506328/paedagog
Skolen Hjuldamperen,Pædagog søges til Hjuldamperens STU i Taarbæk,"Vi oplever en øget tilgang af unge til vores tilbud og søger derfor en pædagog med relevant uddannelse og erfaring til vores STU-afdeling i Taarbæk.Skolen Hjuldamperen tilbyder særlig tilrettelagt ungdomsuddannelse for unge med særlige behov i alderen 18-25 år, samt fritids- og aktivitetstilbud til unge på 18-35 år, samt beskyttet beskæftigelse. De unge har alle udfordringer med generelle læringsudfordringer, udviklingshæmning eller andet.Vi søger en person med pædagoguddannelse, der har viden og erfaring indenfor det specialpædagogiske område og er indstillet på at arbejde med de lærings- og pædagogiske metoder, der understøtter disse grupper.Det er vigtigt, at du har erfaring med målgruppen og er parat til at stå for aktiviteter, social træning og andre pædagogiske aktiviteter. Vi forventer, at du har gode evner indenfor dokumentation, såsom at: udarbejde planer, sætte mål, udarbejde og udføre aktiviteter, samt skabe udvikling og en god og struktureret dagligdag.Vi forventer, at du brænder for området, har gode samarbejdsevner og en høj grad af faglighed og selvstændighed. Du har et godt humør og er engageret og insisterer på, og har lyst til, at ville lære vores unge mennesker noget afgørende og værdifuldt.Det er en fuldtidsstilling med et ugentligt timetal på 37 timer. Arbejdstiden ligger på hverdage imellem kl. 8.00 og de fleste dage til kl.16.00.Ansøgningsfrist og ansættelse: 29. april 2024 med ansættelse hurtigst muligt derefter.Samtaler forventes afholdt løbende.Kontakt os på mail:job@hjuldamperen.dkKørekort: B (almindelig bil).Der er en stilling ledig.Kørekort:B Almindelig bilSkriv venligst i din ansøgning at du fandt jobbet på Jobindex",22. marts 2024,https://www.jobindex.dk/jobannonce/506252/paedagog-soeges-til-hjuldamperens-stu-i-taarbaek
Lykkegard ApS,Pædagog eller pædagogisk assistent til afdeling Ungeloftet,"Er du uddannet pædagog eller pædagogisk assistent, så kan vi tilbyde dig en spændende stilling på Ungeloftet.Ungeloftet er en bo-afdeling for 3 børn og unge i alderen fra 9-15 år. Vores beboere har blandt andet brug for hjælp til at strukturere deres hverdag, ADL-træning og mentaliserende samtaler. De kan være udfordret af fx ADHD, autisme og kognitive funktionsnedsættelser i mildere grad.Vi tilbyderen stilling i et flerfagligt stærkt teamet tæt samarbejde smedet sammen af godt humør og hjælpsomhedgrundigt introforløben organisation med udviklingsmulighederrelevante interne kursersundhedssikringgode fysiske rammer og udeområderen spændende hverdag med mangeartede arbejdsopgaverVi ønsker, at duhar en pædagogisk uddannelsedeltager aktivt på personalemøder og i faglig supervisionkan handle på egen hånd og samtidig er en god teamplayerbidrager til det gode arbejdsmiljø og kollegaskab, hvor hjælpsomhed er i højsædeter reflekterende – også i forhold til din egen praksiser engageret og fleksibelhar en anerkendende tilgang til både børn/unge og kollegerhar erfaring med målgruppenVi arbejder med årsnorm. Stillingen er på 37 timer gennemsnitligt pr. uge inkl. bl.a. personalemøder og arbejdet som kontaktperson. Du vil indgå i et fast 4-ugers rul med flere sammenhængende fridage samt fri hver anden weekend.Kort om LykkegardLykkegard er et privat opholdssted, som er beliggende 8 km fra Holbæk. Hos Lykkegard gør vi en forskel for mennesker, som har et særligt behov for struktur, omsorg og anerkendelse i deres hverdag. Du kan læse mere om Lykkegard og vores pædagogiske metoder og tilgange pålykkegard.dk.Lyder det som noget for dig?Så send din ansøgning med CV via knappen ""Ansøg"". Har du spørgsmål til stillingen, er du velkommen til at kontakte afdelingsleder Karin Thambour på tlf. 54 5858 09.Vi ønsker stillingen besat hurtigst muligt. Vi holder løbende ansættelsessamtaler.Straffeattest og børneattest indhentes før ansættelse.Kørekort til personbil er nødvendigt.Vi ser frem til at høre fra dig.Jobbet søges via QuickApply på Jobindex.",22. marts 2024,https://www.jobindex.dk/jobannonce/506177/paedagog-eller-paedagogisk-assistent-til-afdeling-ungeloftet
S/I Huset ved Skoven,"Vil du være, hvor der altid er tid, forståelse og plads til mennesket og hjertet?","Vi søger socialpædagoger, pædagoiske assistenter. Alle med psykiatrisk erfaring.Huset ved Skoven er et bosted med borgere § 107 + 108. Det er voksne borgere med massiv brug for støtte hele døgnet. Det er borgere med hjerneskade, massivt omsorgssvigt, autisme, ADHD, psykiske udfordringer, personlighed/adfærdsforstyrrelser etc. Nogle af vores borgere har udadreagerende adfærd.Vores borgere profiterer af ro, nærvær og tryghed i et hjemligt miljø, hvilket vi gør rigtig meget ud af at skabe og give. Så kan du se dig selv i disse værdier, og har du lyst til være med til skabe disse rammer, så skynd dig at sende ansøgning og CVLidt om hvad vi søger:Vi søger uddannede og erfarne (gerne fra bosteder) social pædagoger; hvis du har koordinatorerfaring, er det et plus.Vi invitererdigmed på vores ”Huset ved Skoven rejse”, hvor du har medindflydelse, bliver medinddraget og bliver en del af vores vidunderlige familie.Her vægter vi værdierne Fællesskab, Næstekærlighed og Forståelse højt, som vi eksisterer ud fra i hverdagen. Se mere på:Værdierne – Huset ved skoven.Vi dyrker fællesskabet på tværs af husene, gennem fælles aktiviteter, supervisioner og er generelt meget tæt på vores ledelse. Vi ønsker fællesskabet, dialogen og ”Vi Ånden”. For med fælles hjælp støtter vi vores borgere bedst og bliver fagligt stærkere.Vi er i en rivende faglig udvikling, hvor vi forventer, du er interesseret og følger med. Vi skal det kommende år have videreimplementeret og styrket vores metodermiljøterapiogLow Arousal, samt underlæggende tilgange indenforSanseintegrationogNeuropædagogik.Det betyder, at du modtager en del undervisning, kommer på kurser og bliver superviseret af både intern og eksterne supervisorer. Dertil arbejder vi med vores pæd. trekantDen pædagogiske Trekant – Huset ved skoven, hvortil der forventes en vis psykisk modenhed og vilje til personlig udvikling.I dagligdagen vi du være en del af et team (en familie), hvor det er jeres mål og ansvar (sammen med jeres teamleder) at få jeres fælles hus/borger til at trives og udvikle sig.Det handler om at bruge jeres individuelle kompetencer/styrker til i flok at løfte alle opgaver, som hører til en familie/borger med hus og hjem samt årets traditioner. Altså alt fra pædagogiske tilgange og pleje, knus & kram, struktur, forudsigelighed, oprydning/rengøring, holde udenoms arealer/have, sundhedstjek, vedligehold, små borgerferie, juleaftener, adm. opgaver, status og udviklingsbeskrivelser mv.Vi forventer derfor, at du:Har ben i næsen og er solidt plantet på jorden (groundet)Kan sætte grænser (være tydelig) og være omsorgsfuld på samme tidMotiveres af at skabe udvikling for mennesker med særlige behovHar kendskab til og kan arbejde med vores ovenstående metoder og tilgange samt overordnede lovgivnings- og tilsynskravSom sundhedsfaglig har du styr på lovgivning/tilsynskrav og er stærk i sundhedsfaglig dokumentationKan arbejde med Low Arousal tilgang trods udadreagerende adfærdHar faguddannelse (pædagog og pædagogisk assistent), er fagstærk og har styr på egne kompetencer.Prioriterer faglig dialog, refleksion og dokumentation omkring borgeren of teametVi tilbyder:Fantastiske kollegaer og stort fællesskab samt rummelighedMedindflydelse på egne opgaver og hus/borgers trivselEn kultur, hvor ”vi gør det, vi siger, vi gør”En kultur, hvor vi rent faktisk ”tilpasser miljøet til borgeren” og borgeren ikke bare skal passe indLange vagter (12/14 eller 24 timers) med både dag, aften og weekendarbejdeEn organisation, der er i rivende udvikling, og du kan være med til at prægeSupervision med kollegaer hver 4. uge. ved intern psykolog eller eksterne supervisorerEksterne kurser, teambuilding ved behov, pæd. dage/undervisning etc.Generel faglig og personlig udviklingEt uformelt rummeligt miljø, hvor du er en del af et større fællesskab, selv om vi er små enhederVi du være med på vores rejse, så tjek vores hjemmeside ud eller ring og hør mere om os:Tlf. 3062 3223 Pernille (souschef)Hjemmeside:Huset ved skoven – Botilbud for voksneDu kan søge stillingen via nedenstående QuickApply-ansøgningsknap.Jobbet søges via QuickApply på Jobindex.",22. marts 2024,https://www.jobindex.dk/jobannonce/506142/vil-du-vaere-hvor-der-altid-er-tid-forstaaelse-og-plads-til-mennesket-og-hjertet
Glostrup Observations- og Behandlingshjem,Brænder din socialfaglige flamme på lavt blus?,"… så behøver du ikke at læse videre. Hvis du derimod motiveres af at skabe en afgørende forskel for anbragte børn, så læs endelig videre.På Glostrup Observations- og Behandlingshjems børneafdeling, Kompasset, arbejder vi medpædagogisk og psykologisk udredningaf døgnanbragte børn i alderen 0-6 år. Børnenes baggrund er ofte meget forskellige, men generelt karakteriseret ved en høj grad afkompleksitetogbekymring.Hos os får du mulighed for at blive en del af ethøjt engageret team, bestående af 12 kontaktpædagoger, 4 nattevagter og 1 afdelingsleder. Fundamentet for vores høje engagement, bygger på en høj grad afsammenholdogtillid, samt fortløbendefaglig fornyelseogrefleksion, blandt andet gennemuddannelseogtema-dage.Et væsentligt element af vores pædagogiske udredning er dagligerelationelle observationeraf samspillet mellem barnet og den voksne. Dette arbejde kræver, at man i høj grad evner at skabe enmeningsfuldognærværende kontaktfor barnet. De faglige nøgleord i vores arbejde er særligttilknytningsteori,mentalisering, Neuroaffektiv Analyse, MIM-P, NAAogAPCI. Vi oplever ofte at have behov for at tilegne os særlig viden i forhold til specifikke problemstillinger.Vi afholder behandlingsmøde hver 14. dag sammen med vores behandlingsansvarlige psykolog, og vi har ekstern supervision ca. hver 4. uge.Hvem er du?Du eruddannet pædagogeller haranden relevant grunduddannelse.Du har en højmentaliserings- og refleksionsevneog du har let ved at”svinge”med andre menneskerDu er dygtig til at tilegne dig nyfaglig videnog omsætte den i en dagligpædagogisk praksisDu trives med enomskiftelig hverdag, der kræver storfleksibilitetDu har godekommunikative evner, skriftligtsommundtligtDu harkørekort.Din nye arbejdsplads er beliggende i Glostrup tæt på kollektiv trafik samt gode parkeringsmuligheder.Glostrup Observations- og Behandlingshjem er en selvejende døgninstitution under foreningen Livsværk.På Kompasset er vi personalemæssigt et team med en høj diversitet i forhold til alder, baggrund og erfaring. Vores høje diversitet er en stor ressource i forhold til at skabe en arbejdsplads, hvor der er plads og rum til forskelligheder, samtidig med at vi har et skarpt blik på, på hvilke områder, det er vigtigt, at vi er ens.Stillingen er på 32 timer ugentlig og vagterne er fordelt mellem tidlige og sene vagter samt hver anden weekend.Der vil kunne fremvises et skema v. samtalen. Stillingen vil være til besættelse fra den 1. juni 2024.Der er ansøgningsfrist d. 16. april kl. 9, og ansættelsessamtalerne vil blive afholdt den 19. april 2024.Aflønning sker efter principper om ny løn.Ved spørgsmål kontaktes Pernille Jensen – 2830 9298.Jobbet søges via QuickApply på Jobindex.",22. marts 2024,https://www.jobindex.dk/jobannonce/506109/braender-din-socialfaglige-flamme-paa-lavt-blus
"Ådalskolen, Fangel Friskole",Pædagog søges,"Er du til forpligtende fællesskaber? Tager du gerne initiativ til fritidspædagogiske aktiviteter? Så er muligheden der nu! Vi søger en pædagog til skole og fritidsordning til en fast stilling på 35 timer om ugen.Ådalskolen, Fangel Friskole er en traditionsrig og levende skole, hvor vi skaber skolen sammen. Derfor har din kreativitet og dit engagement stor betydning for skolens yderligere udvikling og hverdag. Vi arbejder i et forpligtende tværfagligt samarbejde mellem pædagoger og lærere, som er præget af fleksibilitet og omstillingsparathed, og hvor rummelighed, tålmodighed og humor er vigtige ingredienser. Har du ligeledes en interesse i udeliv, teater og musik, er dette et klart plus.Vi søger en pædagog, der har ønsket om at være en aktiv del af en udviklingsorienteret skole og fritidsordning med respekt for skolens rødder. Skolens visionstræ har blandt andet fokus på anerkendelse, læring og bevægelse samt fællesskab sammen med kollegaer, elever og forældre. Jobbet består både i at være pædagog i skolens fritidsordning samt støttelærer i indskolingen.Sidste frist for ansøgning er mandag d.15.4.2024, kl. 12.00. Vi ser frem til at høre fra dig.Yderligere informationer om stillingen og eventuel rundvisning, kontakt SFO-leder, Brian Uldal Skov,bus@aada.dk/ tlf. 65 96 33 30.Ansøgning med relevante bilag (i samlet pdf-fil) sendes tilansoegninger@aada.dk. Mærk ansøgningen ""pædagogstilling"".Samtaler afholdes i uge 17, og ansættelsestidspunktet sker efter aftale.Ådalskolen er en grundtvig-koldsk friskole med ca. 250 elever. Skolen er en selvejende institution, grundlagt i 1873 og har 27 fastansatte.Læs mere om skolen påwww.aada.dk.",22. marts 2024,https://www.jobindex.dk/jobannonce/506280/paedagog-soeges
,,,,https://www.jobindex.dk/img/pdf/NGG_20240322mb.pdf
,"Special- og udviklingspædagoger til PPR, CFR",,,https://www.jobindex.dk/jobannonce/506169/special-og-udviklingspaedagoger-til-ppr-cfr
Krudthuset,"Pædagogisk medhjælper, pædagogisk assistent eller pædagog","Til den private integrerede institution Krudthuset, søger vi en ny kollega 35 t/u. til vores vuggestue.I Krudthuset har vi plads til 25 vuggestuebørn og 40 børnehavebørn og du vil i vuggestuen blive kollega med 3 uddannede pædagoger, en uddannet psykomotorisk terapeut og 2 medhjælpere.Vi vægter først og fremmest relations- og omsorgsarbejdet højt og du vil blive en del af et hus med en høj faglig standard og stolthed, et rart og imødekommende arbejdsmiljø, en masse engagerede forældre og selvfølgelig en masse skønne børn.Du skal søge denne stilling hvis:Du har lyst til og gerne har erfaring med at arbejde med aldersgruppen 0-3 år.Du vil arbejde i et hus, der vægter tid sammen med børnene, over ligegyldige møder og kommunale test-skemaer m.m.Du er indstillet på og enig i vigtigheden af, at vuggestuen er en integreret del af huset.Du har viden, erfaring og holdninger du har lyst at byde ind med.Du vægter samarbejde, gensidig respekt og anerkendelse højt.Du er humoristisk anlagt, mødestabil og synes du har verdens vigtigste job.Du kan starte 1. juni 2024 eller hurtigst muligt derefter. (Vi venter gerne på den rigtige).Du kan orientere dig yderligere om Krudthuset påwww.krudthuset-solrod.dkeller du kan kontakte institutionsleder Bo Abrahamsson påinfo@krudthuset-solrod.dkeller tlf: 35 13 50 29, hvis du har spørgsmål til stillingen, huset, eller andet.Ansøgninger sendes via ansøgningslinket, så den er os i hændesenest d. 14. april 2024. Vi forventer at afholde samtaler i uge 17.Jobbet søges via QuickApply på Jobindex.",21. marts 2024,https://www.jobindex.dk/jobannonce/506033/paedagogisk-medhjaelper-paedagogisk-assistent-eller-paedagog
Fonden Øernes Autisme Tilbud Petersdal,"Øernes Autismetilbud Petersdal, Afdeling 14 Bo søger ny kollega","Øernes Autisme tilbud - Petersdal er et målrettet tilbud til børn, unge og voksne med autisme. Vi har eksisteret siden 2004, og tilsammen har vi flere afdelinger, heriblandt et børnehus, voksent botilbud, aktivitets- og samværstilbud og STU, et aflastningstilbud samt et skærmet tilbud.14 Boer et varigt voksentilbud, der er hjem for 6 beboere, som alle er unge voksne i alderen 22-29 år.De unge bor i nyrenoverede lejligheder. Der er hyggelige, hjemlige fællesområder samt adgang til have med plantekasser, hyggekroge og hængekøje.Beboerne har, ud over autisme, retardering i forskellig grad. De har alle brug for hjælp til daglige gøremål – samt for nogens vedkommende til personlig hygiejne.Vi søger en ny pædagogisk eller sundhedsfagligt uddannet kollega. Vi søger dig, der har lyst til at arbejde med netop denne målgruppe, og som motiveres af at arbejde tålmodigt og systematisk for at fremme livsglæde, trivsel, udvikling og selvstændighed hos de unge.Stillingen er på 37 timer – det kan dog, hvis der er interesse for det, være på 30 timer.Arbejdstiden ligger typisk på hverdage mellem 13-22 samt hver 2. weekend.KvalifikationerDu har en uddannelsesbaggrund indenfor det pædagogiske eller det sundhedsfaglige område såsom pædagog, pædagogisk assistent, SSA eller lignende.Du god til at danne trygge relationer, reflektere over egen praksis samt inddrage dine kollegaer i det faglige teamsamarbejde.Du hviler i dig selv og har et roligt nervesystem.Du er rummelig og professionel i forhold til beboernes udfordringer.Du er bevidst om ”de 3 P er” (Professionelt, personligt og privat) og undgår at blive ”privat” i arbejdet med beboerne.Du trives i, og vil gerne være medskaber til, et struktureret og forudsigeligt miljø i vores hus.Du har mod på at bringe dig selv og din faglighed i spil via supervision.Du vil være med til at skabe det fundament, der muliggør, at beboerne oplever glæde og ro til at udvikle sig.Du glædes ved de små udviklingspotentialer og succeser i hverdagen.Du er mødestabil og ansvarsfuld i forhold egne handlinger, og du følger aftalte ting til dørs.Du præsterer på et højt fagligt niveau og er medskabende til, at vi har det godt med hinanden imens.Du har gode kommunikative kompetencer, både mundtligt, skriftligt og digitalt.Ren børne- og straffeattest er en forudsætning.Gyldigt B-kørekort er en fordel.Hvad kan vi tilbyde digDejlige unge mennesker, der netop har brug for dig og din indsats.Et dynamisk arbejde i et til tider travlt miljø, med gode muligheder for såvel personlig og faglig udvikling.Der arbejdes ud fra det hele og individuelle menneske, og med hensyn til alle kompetencer og udfordringer.Internt kursus indenfor Autisme.Konflikthåndtering, brand og førstehjælpskurser.Faste personale- og udviklingsmøder.Enneagram personlighedsmoduler og supervision.Personalegoder som for eksempel sundhedsforsikring og personaletøj.Overenskomst med Dansk Erhverv og SL.Efter 2 års ansættelse kan der søges om og lægges en plan for modul diplomuddannelse.Engageredeog dedikerede kolleger, der arbejder på den bedste fælles indsats.En røgfri arbejdsplads.AnsøgningHvis du gerne vil være vores nye kollega, er du velkommen til at fremsende en ansøgning med CV til:ansogning@petersdal.dk–mærk ansøgningen med ”hus 14”.Ansøgningsfrist18. april 2024. Samtaler afholdes i uge 17.Har du spørgsmål til stillingen, så kontakt afdelingsleder Lotte Stensgaard på tlf. 2060 1917.Vi ser frem til at høre fra dig.Du kan få mere at vide om os på vores hjemmesidewww.petersdal.dkog på vores facebookside ”Petersdal”.",20. marts 2024,https://www.jobindex.dk/jobannonce/505988/oeernes-autismetilbud-petersdal-afdeling-14-bo-soeger-ny-kollega
